tractID,disposable_income
714400,26347.21017
722100,29384.64133
722200,12877.47986
722300,45297.10874
722500,24635.12319
722600,26896.77744
722702,31600.94645
722800,28001.50831
722900,31809.44941
723000,33908.1043
723200,40760.42927
723300,26830.58155
723400,32959.76491
723500,22259.3495
723600,25298.6509
726000,29773.77966
732002,22070.90112
722401,26922.39236
723100,34678.22782
727001,25165.30963
736002,24169.28751
717501,27011.89651
717001,32366.54223
717101,39329.47359
717002,29304.22806
717200,44329.07278
717300,37354.95973
717400,21823.53811
735104,20418.20846
736105,20626.34678
715902,9757.434631
739100,12596.63133
720205,20973.66257
715901,27398.03865
720206,25583.79722
722001,26200.02474
183200,7312.764456
182100,7789.84511
181300,10364.42197
203600,25227.62623
124323,24278.76772
124322,27310.54918
124602,34129.32927
124800,20672.14453
182600,18973.20466
124402,26610.64087
163500,47707.00582
256805,42754.82547
133701,18916.49009
133702,28121.33793
154001,37340.44664
154002,32574.41641
175301,7157.159476
175701,14855.63051
175703,19638.77028
175704,23205.49003
175801,8448.984008
175802,6257.812961
180201,25271.91251
196402,33175.57086
216701,53130.1478
175401,5004.968934
175402,5732.583881
175601,49718.74858
175602,9075.632018
180202,10442.80485
182302,3046.972131
183101,12562.09697
183102,17532.48996
196401,39383.53354
124500,22654.28993
175500,7526.829728
124321,27289.49119
181400,4487.482074
256804,43794.98333
246104,33567.26025
124200,27919.80558
143300,29219.97012
143200,33122.76981
181900,15071.6982
181000,15414.44247
181100,9471.393688
180900,5434.459058
175900,8223.41708
246103,47397.85154
143400,27598.23736
125100,10874.9819
256803,28821.65474
181800,4854.124228
182500,18530.94795
124312,40554.23946
182400,16066.44651
182900,10046.55943
182200,-159.9322322
246003,47093.07472
183000,8356.289122
182700,11913.02989
182000,779.194214
180800,9099.62538
181200,10282.63168
181702,8957.896673
182800,5269.567074
181500,6254.84304
180700,10443.24766
124601,18610.27992
246001,35050.34274
246102,24217.95703
124401,30905.05696
116500,31755.41583
246002,61651.05322
256801,38353.72244
256802,38896.02811
180300,12503.47266
180600,8960.590214
246101,30907.06894
180100,23499.29877
124900,16909.69806
246201,48061.92022
175200,4738.018154
223900,0
246202,49618.27952
124311,36534.0539
125000,18875.40433
124700,23070.66886
246203,46941.54425
246300,27761.70305
17700,17242.32879
17800,18452.19818
17900,34718.46544
18000,20730.17591
18100,26981.70354
15300,14832.13506
15500,10211.39867
15600,11671.92787
15700,12573.73871
15900,12278.85333
16000,8209.316963
600,21325.4561
6600,31985.8555
7400,74771.9827
7700,53451.48808
7800,3498.241088
14101,47321.6793
15001,31960.62886
15201,42444.62223
15202,23101.06386
15801,82345.42341
18301,82914.90621
18302,85454.72828
18702,41164.78555
20100,0
12300,21837.77206
12400,49532.22095
12500,42811.69844
12600,33258.99073
12700,27930.69325
12800,22826.84709
12900,28335.66169
13000,19307.57804
13100,30014.01199
13200,18298.10688
13300,29055.4315
14000,23368.45086
14400,31269.03336
14600,22184.76095
14700,26714.85896
14800,15992.83273
14900,14497.00858
18200,26251.98667
16100,8929.147467
16200,11423.67221
16300,14814.84668
16400,24205.31297
16500,19653.77355
16600,7657.057705
16700,16092.35025
16800,27022.09469
16900,11720.85261
17000,20143.36837
17100,25747.79051
17200,18818.62468
17300,27049.80658
17400,16996.0759
17500,19747.26597
17600,12741.1787
19900,44988.24086
980100,0
6400,38074.55623
6500,26959.75379
6700,6244.466601
6800,14573.55307
7000,26178.86103
7500,45572.9302
14102,23810.15204
14501,16887.67487
14502,6021.581863
15002,7615.812575
18701,55760.13717
20000,28576.57558
1701,25189.39786
6900,0
7100,12985.50825
7200,47838.7436
7300,46020.42297
7600,74306.9441
15802,11023.59181
19800,36349.07443
45200,35843.37728
41000,29038.78471
45603,26597.25165
40803,39862.33942
41702,36418.41512
43301,54438.56433
43302,43008.52489
43303,58181.80576
43401,40654.90387
43402,61060.54943
41100,29759.90209
40801,49929.962
40900,41306.58876
44401,52908.52234
40500,23196.07975
43700,34927.20436
43800,20329.26451
42301,49833.71061
42302,27852.67897
43500,4691.818361
43600,14383.93149
40600,31558.70064
42700,46371.35175
42800,58758.30241
43900,34746.54583
44000,46849.13163
45901,23011.29348
41200,49022.08177
45401,28098.91489
45402,34129.96732
40804,39562.26419
40805,43158.99848
46201,36910.27632
46000,23894.47478
41601,44278.31837
41602,40816.95718
41603,31098.20922
41604,47695.77064
44701,29460.27797
45902,57783.87732
44702,42413.89273
41300,28984.55288
41400,38539.1427
41500,50998.80368
44403,53760.78316
44501,27356.91082
44800,21958.61891
44900,30031.84502
45000,19206.35754
41901,29965.98854
41902,51368.9696
42600,35317.57313
41701,28570.29139
41704,43915.53127
41801,18371.5459
41802,28170.60822
41803,52938.64727
40200,34983.7854
40300,29658.57312
40400,36258.2792
44300,29243.70114
42500,50560.60993
42000,44861.80346
42100,40513.73926
42200,40036.9225
44200,69582.82754
44404,41223.69473
46103,29991.75077
46105,25312.30122
46104,25670.00093
44601,42065.78609
44602,34640.80352
46106,49003.43036
45502,48198.94867
45300,38829.50844
40701,44189.27658
40702,58251.93313
44502,30901.2438
45501,37918.55443
46297,46089.73739
46202,46726.58593
46298,35075.92408
45100,29332.93742
45602,22116.85348
45703,55489.50363
45704,62695.37613
45804,50247.6796
46400,34943.79279
46300,49429.59237
40101,38082.83869
40102,34333.2544
44101,44415.42705
45701,52807.00234
44102,41534.43005
42900,24998.1196
43000,29140.36587
43100,60265.86636
43200,37222.74111
41705,10872.69356
41706,25658.37827
31200,27077.18259
32102,34996.69091
32200,31818.6466
31102,36188.95937
31101,29579.95566
32400,28468.48739
31301,35258.91332
31302,28033.23773
31800,36516.89702
31900,38101.28115
31500,29729.98029
32101,31699.15732
32000,19679.91257
31601,30414.86089
32300,39230.10397
31602,23141.10168
30600,13897.80474
31700,21598.95988
30700,17344.98957
31401,21437.6658
30900,10085.34207
30800,22412.46854
31402,19977.25446
223801,20036.8615
223802,32343.30209
236601,40939.46602
